xvalue,yvalue,label
909.2666306094897,-1312.6322584102995,9
-2861.3725448727623,-1194.0123693127348,2
0.6047729733183155,-2168.8923229834495,1
-293.2193196904243,-1191.7453877327666,1
224.43889253570015,-403.32041077466386,6
1277.2310000241307,-1350.22623363492,1
1056.3215401452,-929.521856830204,4
-540.1797558082692,28.914169011806703,6
-1357.3910511561712,-962.0947213662349,5
-741.0438113256681,-1361.30374350725,7
-1194.713748564994,131.02449631136906,4
-1282.5033662131011,-697.0125255900816,5
1296.5405417310487,1319.4925879255866,7
-1494.2795940650165,-137.7660856150279,3
-949.121628142832,-2806.9684884260523,4
68.16275262961734,813.7741357394751,1
516.7918388590618,210.07858634550186,2
-511.7633760248693,-2148.4072283946007,4
1607.2382693664963,989.5000885721946,8
-2192.218331188839,126.04338241685066,0
-2024.0008618398929,-1765.330400425743,2
-1202.1277666139822,-1017.6588234295472,5
476.0228963026231,-2140.3315649339843,7
1130.7831536404078,-2128.780649715144,9
-29.50635574008061,-1067.3813408514889,1
-269.63376634812545,-310.3037971520677,4
-2191.0384398919373,-334.80365431875185,6
2459.321370497941,607.2453218050056,0
1196.8904762904167,-1444.036566388773,9
1038.8704960265918,-898.7251000770618,3
2109.734715987674,-2146.934642196191,8
-2124.7590471505555,208.87916729728178,8
1230.6864036595173,1151.8854338072406,3
1717.0650796813995,474.2412610701257,3
-1970.9668309306287,286.44565630605894,8
267.1727766356698,197.5950473178561,0
-1133.1516402719533,1634.7436208221125,7
1606.4709021407991,-474.61320220780954,5
1730.4824841281602,1582.0927289601918,7
1513.3050170558388,-1768.3420262561028,9
-1225.3777166789102,1990.7743790280176,6
2024.4458786420537,-1064.124643350475,1
-613.1226040910734,-1460.254430424764,3
2274.73065280189,896.562278681244,7
-738.2567406821743,2158.1647958403482,6
-581.4530285056647,-1021.6666053075845,7
-1552.7058773302972,-1745.603338341794,2
1171.3147486978391,-1015.7095815928537,1
184.75417710200637,-39.738164141601274,2
-1142.7253713343812,659.6423691654818,2
-2679.496062083021,1346.045264633333,4
-5.916621340367056,455.351020916925,4
-1345.266414643403,480.49147220177616,5
-3581.3484792311365,238.24725700824985,8
-95.26749401253,174.82854765708024,2
2543.9462240541498,-495.1671536557928,2
1487.5035581678349,2494.780151858166,8
-1113.8511650940727,762.3394190230238,4
-158.94669251852014,2579.1428461891564,8
450.1734250052821,-223.09461428702227,0
