xvalue,yvalue,label
-1496.0098360753975,640.2528489294299,9
1865.016952252523,1078.105581533237,2
388.77561983828184,-1532.3957603079523,1
-336.6648650016852,-1524.3838568933627,1
267.58914086807715,101.54194209268965,6
291.73454052203533,-1274.9933711538192,1
-886.4803669498951,-565.5775496686662,4
-212.55542698317075,-86.30570842335129,6
-1856.9801506764948,-584.8178131662348,5
-1687.2633908007228,16.119859050694657,7
490.5717900884675,293.82588631399653,4
-1572.6000983673196,279.19210182998506,5
-1565.1323028886868,103.2449447655906,7
-58.4104381182504,-1219.6690421405588,3
2233.9772576143723,742.1923269929549,4
-190.93929770005983,-1482.5620427142608,1
-153.89690016856082,-55.91638838994403,2
774.4834488698272,395.41647550810904,4
-360.6458878945125,1164.6365281605524,8
1541.6898857868694,-643.5549147872086,0
1398.8274306893943,664.1936101430459,2
-1476.113073538528,354.9707882811175,5
-1365.705315175985,842.1084765169849,7
-1441.8455322353939,790.7741833209599,9
-312.08869217883745,-1441.0726981022017,1
-688.9644710816088,-185.6012890117313,4
1553.6054320148078,548.8317262024126,6
1568.2950956801444,-1156.4860359631432,0
-1032.703914146795,1120.2117529724433,9
1053.8062914866969,-796.1332251056422,3
545.6908508326793,1442.3499387698532,8
-450.0683399257717,-461.68533252071336,8
-889.5102139787404,-1110.182870334578,3
985.1245941870217,-736.5729215358275,3
-45.98434456503231,266.39260448574004,8
-531.1794436352776,-766.1038345210306,0
-1488.6494567583322,201.64349111679914,7
-1892.0534597098783,-511.48254259733403,5
-1341.6208017756958,590.0567938584808,7
-713.0578264396647,1375.5071956373968,9
1619.9300361370736,-459.4221564562052,6
314.0153925544182,-1469.9669760887668,1
1084.057750670127,-783.1759533845304,3
-1052.1633023138836,1214.9404312197134,7
1846.549592195249,402.0783670802759,6
-1538.2416092790804,117.54121194970938,7
1755.550005963685,593.9792791796141,2
312.2018716703593,-1482.2561576737173,1
-271.7102652976961,-236.05330135486895,2
1128.3582430807398,506.71633249615337,2
1776.6921420195138,861.6576065454474,4
-707.2729942238165,-24.6033231345327,4
-1808.3529565303281,-477.7329227941685,5
2377.416624337166,1438.26683088318,8
98.03156545019982,-474.27922617848384,2
1427.6840407828743,726.3798488209675,2
244.65577827735277,1665.188359531448,8
768.0388283142702,333.0735592406021,4
-241.58304332137487,1399.4560375578963,8
-733.7454759299658,-828.6439896433146,0
-1637.1923803134546,256.97590346056745,7
-1461.7298597597583,707.7955000342255,7
-214.18376120843578,1403.4292898907252,8
-1702.3251949608991,-160.78513855094144,5
541.0986724847642,-1560.3487466192653,1
-822.6788094787491,-1328.581713728687,1
-651.2564580388923,-712.0694422981767,2
616.2575066859821,-1160.784126325763,3
-1399.0256764255541,206.10985994206212,9
440.59139870249504,1370.4861038931601,8
-1558.2972891247655,176.49771544573906,7
-918.5685342280252,-914.4123008480149,0
2450.1272326812937,1301.5282354175638,2
1935.2972528215348,-469.3872374671845,6
1461.3195767034617,118.2175408050322,2
-1075.8181711908408,-1070.3661506124256,3
425.48743696488737,-1536.9993407693191,1
2202.4368887647947,946.9506092860479,2
-366.65152549019245,1632.7429933164326,8
1760.1751390869176,951.4148007368733,4
-925.0929201915122,-1195.3054993396504,1
379.1330671503909,1177.3204755967147,8
-1466.8265717442735,190.7567375421249,5
-301.0149351981903,1775.0171719617656,9
-1685.1522280688332,151.8915059597548,5
1527.493911981446,-775.0453494711765,0
829.8598801190795,-1250.0379745369316,3
1871.9482216657966,457.0040905018968,2
1314.3798982706537,-810.1255699488055,0
2022.5614674180501,1097.2761303080317,6
-1912.3417400940382,-191.7890893714958,5
-1118.4591653165794,-948.9084464689784,3
1949.3280185214023,396.48205505914245,6
-1240.4148986238367,894.6833502794477,7
87.6640522393508,-1558.1113619720336,1
-148.9426827427031,1403.4918625362466,8
-689.8230248358301,-692.6396123094421,0
-46.32101026478824,-1400.5765698558487,1
2319.399856237139,1006.2351526367676,4
1562.453479524936,794.2796288868932,2
-370.8005134173319,-1280.6711417758665,3
790.0830322977752,140.76562916210173,6
-1711.969354742535,101.16934744667317,7
426.67355689818487,-94.78745127130499,2
-1295.2703790244016,845.8757681688357,7
-718.7655798183896,610.4781188174368,8
-1758.52715777882,-284.285074386023,5
-1162.2447543907379,800.9435281721235,9
-561.2085041779044,781.8234706153817,9
973.59842968436,492.45676794358945,4
-234.95044868637123,27.9258055837598,2
-1823.465432714532,-157.1525676292423,5
-1534.5779846710734,159.84110778784768,7
1360.9978945985968,-335.723587015405,0
-1685.6885266147578,-251.23032972388975,5
2030.1568433674918,911.4654673954291,2
-476.8383294477745,1085.0402365694474,8
81.68998020788759,20.274160506792775,6
-1592.1115555741005,127.28881672191305,7
1970.0765786656832,1566.0049388169418,8
281.0960142846699,-575.5030469306353,0
1781.9575477900419,-444.7589052950951,0
-1119.642229094521,435.0390161431099,9
-786.5404200702818,1496.8777192175955,9
1563.7521400999735,-1228.045540925908,3
1415.4044283075211,-574.6607166197299,0
-227.75256174704612,214.10423574421324,8
1231.6747470614603,713.6030718296024,4
-479.04308148696936,-1278.5283628130624,1
-1969.8164180172082,-545.492306071622,5
1614.3903890654346,354.17632216172115,4
-258.0772813585458,-1527.2949035537329,1
-974.2709290252626,793.4034573845222,9
97.69221438143674,-1418.5790685270565,1
890.7825001107108,1617.585005383811,8
-438.97794223235735,-266.58092726607975,6
954.4946935598637,347.03906174208464,2
80.02227676546669,-1583.2536372212624,1
